 Source IP, Source Port, Label,count
192.168.10.25,56252,BENIGN,6
192.168.10.17,56054,BENIGN,6
192.168.10.9,10005,BENIGN,6
192.168.10.19,56220,BENIGN,6
172.16.0.1,58838,DDoS,6
192.168.10.19,23152,BENIGN,6
192.168.10.51,50297,BENIGN,6
192.168.10.14,51697,BENIGN,6
192.168.10.16,26017,BENIGN,6
192.168.10.25,56239,BENIGN,6
192.168.10.17,55920,BENIGN,6
192.168.10.9,10350,BENIGN,6
192.168.10.17,55991,BENIGN,6
192.168.10.25,54033,BENIGN,6
172.16.0.1,62162,DDoS,6
172.16.0.1,58378,DDoS,6
172.16.0.1,58394,DDoS,6
172.16.0.1,62118,DDoS,6
192.168.10.51,49910,BENIGN,6
192.168.10.17,40579,BENIGN,6
192.168.10.9,61503,BENIGN,6
172.16.0.1,34654,PortScan,6
192.168.10.9,61629,BENIGN,6
172.16.0.1,58395,DDoS,6
192.168.10.17,39036,BENIGN,6
192.168.10.12,58718,BENIGN,6
192.168.10.9,10360,BENIGN,6
172.16.0.1,62116,DDoS,6
172.16.0.1,58586,PortScan,6
192.168.10.9,10346,BENIGN,6
172.16.0.1,58574,PortScan,6
192.168.10.9,9661,BENIGN,6
192.168.10.8,52127,BENIGN,6
192.168.10.9,9663,BENIGN,6
192.168.10.9,10368,BENIGN,6
192.168.10.16,41164,BENIGN,6
172.16.0.1,62159,DDoS,6
192.168.10.9,61622,BENIGN,6
192.168.10.9,61639,BENIGN,6
192.168.10.25,55962,BENIGN,6
172.16.0.1,58377,DDoS,6
172.16.0.1,58393,DDoS,6
192.168.10.9,7463,BENIGN,6
192.168.10.9,9906,BENIGN,6
172.16.0.1,58836,DDoS,6
172.16.0.1,62160,DDoS,6
192.168.10.5,65355,BENIGN,6
192.168.10.8,49753,BENIGN,6
172.16.0.1,58835,DDoS,6
192.168.10.9,9672,BENIGN,6
192.168.10.9,7348,BENIGN,6
192.168.10.25,55964,BENIGN,6
172.16.0.1,34632,PortScan,6
192.168.10.17,40691,BENIGN,6
192.168.10.14,52739,BENIGN,6
172.16.0.1,58906,DDoS,6
172.16.0.1,58326,PortScan,6
172.16.0.1,58907,DDoS,6
192.168.10.9,61493,BENIGN,6
172.16.0.1,58908,DDoS,6
192.168.10.9,10472,BENIGN,6
192.168.10.16,41538,BENIGN,6
192.168.10.8,51931,BENIGN,6
172.16.0.1,58909,DDoS,6
192.168.10.51,50141,BENIGN,6
172.16.0.1,61983,DDoS,6
192.168.10.25,56321,BENIGN,6
192.168.10.19,46316,BENIGN,6
172.16.0.1,58911,DDoS,6
172.16.0.1,58912,DDoS,6
192.168.10.51,53840,BENIGN,6
192.168.10.51,53836,BENIGN,6
192.168.10.9,9942,BENIGN,6
172.16.0.1,58626,PortScan,6
192.168.10.9,9943,BENIGN,6
192.168.10.51,53993,BENIGN,6
192.168.10.17,46686,BENIGN,6
192.168.10.16,41952,BENIGN,6
192.168.10.51,49881,BENIGN,6
172.16.0.1,61982,DDoS,6
172.16.0.1,58913,DDoS,6
192.168.10.17,40698,BENIGN,6
192.168.10.25,56320,BENIGN,6
172.16.0.1,58905,DDoS,6
192.168.10.25,56315,BENIGN,6
192.168.10.9,9974,BENIGN,6
192.168.10.17,46641,BENIGN,6
192.168.10.14,52725,BENIGN,6
172.16.0.1,58606,DDoS,6
192.168.10.9,61678,BENIGN,6
192.168.10.19,47949,BENIGN,6
192.168.10.16,41948,BENIGN,6
192.168.10.12,59228,BENIGN,6
192.168.10.16,41552,BENIGN,6
52.84.64.241,443,BENIGN,6
172.16.0.1,61985,DDoS,6
192.168.10.16,25631,BENIGN,6
172.16.0.1,58894,PortScan,6
172.16.0.1,61984,DDoS,6
192.168.10.25,55750,BENIGN,6
192.168.10.25,55971,BENIGN,6
192.168.10.25,56314,BENIGN,6
192.168.10.50,53878,BENIGN,6
192.168.10.12,59232,BENIGN,6
172.16.0.1,58899,DDoS,6
172.16.0.1,58607,DDoS,6
192.168.10.9,10464,BENIGN,6
172.16.0.1,58900,DDoS,6
172.16.0.1,58900,PortScan,6
172.16.0.1,58901,DDoS,6
192.168.10.9,7476,BENIGN,6
172.16.0.1,58902,DDoS,6
172.16.0.1,58903,DDoS,6
172.16.0.1,58904,DDoS,6
192.168.10.50,53927,BENIGN,6
192.168.10.16,41070,BENIGN,6
192.168.10.8,51928,BENIGN,6
172.16.0.1,35030,PortScan,6
172.16.0.1,58316,DDoS,6
192.168.10.25,56328,BENIGN,6
192.168.10.25,55974,BENIGN,6
192.168.10.25,55978,BENIGN,6
172.16.0.1,34566,PortScan,6
192.168.10.9,10487,BENIGN,6
192.168.10.9,9967,BENIGN,6
192.168.10.16,41026,BENIGN,6
192.168.10.16,41516,BENIGN,6
192.168.10.51,50151,BENIGN,6
192.168.10.17,39003,BENIGN,6
192.168.10.9,9551,BENIGN,6
192.168.10.25,56329,BENIGN,6
192.168.10.17,40707,BENIGN,6
192.168.10.5,65395,BENIGN,6
192.168.10.51,53666,BENIGN,6
192.168.10.9,9966,BENIGN,6
192.168.10.9,9548,BENIGN,6
192.168.10.9,61696,BENIGN,6
192.168.10.17,40713,BENIGN,6
172.16.0.1,34564,PortScan,6
192.168.10.9,7482,BENIGN,6
192.168.10.5,65400,BENIGN,6
192.168.10.51,49879,BENIGN,6
192.168.10.25,55979,BENIGN,6
192.168.10.25,55714,BENIGN,6
52.84.64.212,443,BENIGN,6
172.16.0.1,58935,DDoS,6
192.168.10.25,55986,BENIGN,6
172.16.0.1,58930,PortScan,6
192.168.10.16,41534,BENIGN,6
172.16.0.1,58321,DDoS,6
192.168.10.8,49777,BENIGN,6
172.16.0.1,58323,DDoS,6
52.84.63.136,80,BENIGN,6
192.168.10.5,65350,BENIGN,6
192.168.10.9,7345,BENIGN,6
192.168.10.19,56183,BENIGN,6
192.168.10.9,9572,BENIGN,6
192.168.10.16,29247,BENIGN,6
172.16.0.1,58322,DDoS,6
192.168.10.51,53678,BENIGN,6
192.168.10.51,50366,BENIGN,6
192.168.10.16,41050,BENIGN,6
192.168.10.16,41032,BENIGN,6
192.168.10.9,9971,BENIGN,6
192.168.10.9,61693,BENIGN,6
192.168.10.16,41528,BENIGN,6
192.168.10.9,9968,BENIGN,6
192.168.10.9,7481,BENIGN,6
192.168.10.25,56324,BENIGN,6
192.168.10.9,9556,BENIGN,6
172.16.0.1,58320,DDoS,6
192.168.10.9,9554,BENIGN,6
172.16.0.1,58319,DDoS,6
192.168.10.17,40306,BENIGN,6
172.16.0.1,58612,PortScan,6
172.16.0.1,58318,DDoS,6
172.16.0.1,58317,DDoS,6
192.168.10.51,50146,BENIGN,6
192.168.10.51,53696,BENIGN,6
192.168.10.19,48127,BENIGN,6
192.168.10.9,61495,BENIGN,6
192.168.10.17,40633,BENIGN,6
172.16.0.1,58869,DDoS,6
192.168.10.9,9622,BENIGN,6
192.168.10.9,9621,BENIGN,6
192.168.10.9,61658,BENIGN,6
172.16.0.1,58594,PortScan,6
192.168.10.9,61499,BENIGN,6
172.16.0.1,62273,DDoS,6
192.168.10.25,56004,BENIGN,6
192.168.10.9,9620,BENIGN,6
172.16.0.1,62274,DDoS,6
192.168.10.25,56283,BENIGN,6
192.168.10.9,61661,BENIGN,6
192.168.10.51,53716,BENIGN,6
172.16.0.1,62275,DDoS,6
172.16.0.1,34622,PortScan,6
192.168.10.17,40640,BENIGN,6
192.168.10.51,49888,BENIGN,6
192.168.10.25,56288,BENIGN,6
192.168.10.9,9917,BENIGN,6
192.168.10.12,58664,BENIGN,6
192.168.10.50,53780,BENIGN,6
172.16.0.1,58352,DDoS,6
192.168.10.9,9613,BENIGN,6
192.168.10.17,40644,BENIGN,6
172.16.0.1,58879,DDoS,6
192.168.10.9,9918,BENIGN,6
192.168.10.9,10327,BENIGN,6
192.168.10.8,59061,BENIGN,6
192.168.10.16,27492,BENIGN,6
192.168.10.9,9629,BENIGN,6
192.168.10.8,59125,BENIGN,6
192.168.10.12,58672,BENIGN,6
192.168.10.9,9640,BENIGN,6
192.168.10.25,56267,BENIGN,6
192.168.10.9,9996,BENIGN,6
52.203.123.156,443,BENIGN,6
192.168.10.8,59070,BENIGN,6
192.168.10.8,51945,BENIGN,6
192.168.10.8,52134,BENIGN,6
172.16.0.1,58593,DDoS,6
192.168.10.17,40613,BENIGN,6
192.168.10.17,40616,BENIGN,6
192.168.10.50,52004,BENIGN,6
192.168.10.12,58674,BENIGN,6
192.168.10.51,50334,BENIGN,6
192.168.10.9,61657,BENIGN,6
192.168.10.25,55966,BENIGN,6
192.168.10.25,56280,BENIGN,6
192.168.10.9,9637,BENIGN,6
192.168.10.12,59206,BENIGN,6
192.168.10.16,41098,BENIGN,6
172.16.0.1,58862,PortScan,6
172.16.0.1,58594,DDoS,6
192.168.10.9,9635,BENIGN,6
192.168.10.9,9634,BENIGN,6
192.168.10.25,56282,BENIGN,6
192.168.10.12,59208,BENIGN,6
192.168.10.9,9633,BENIGN,6
192.168.10.9,9915,BENIGN,6
172.16.0.1,62272,DDoS,6
192.168.10.9,7473,BENIGN,6
192.168.10.25,56290,BENIGN,6
192.168.10.51,53700,BENIGN,6
192.168.10.25,56301,BENIGN,6
172.16.0.1,61987,DDoS,6
192.168.10.9,9600,BENIGN,6
172.16.0.1,58600,PortScan,6
172.16.0.1,61986,DDoS,6
172.16.0.1,58342,DDoS,6
192.168.10.19,47951,BENIGN,6
172.16.0.1,58341,DDoS,6
192.168.10.9,9928,BENIGN,6
192.168.10.9,9929,BENIGN,6
192.168.10.17,40138,BENIGN,6
192.168.10.9,9930,BENIGN,6
192.168.10.17,40656,BENIGN,6
192.168.10.17,40659,BENIGN,6
192.168.10.9,9931,BENIGN,6
52.216.1.208,443,BENIGN,6
192.168.10.14,52718,BENIGN,6
192.168.10.9,10439,BENIGN,6
192.168.10.9,9595,BENIGN,6
192.168.10.9,9594,BENIGN,6
192.168.10.25,56304,BENIGN,6
172.16.0.1,34846,PortScan,6
192.168.10.51,50156,BENIGN,6
192.168.10.9,9975,BENIGN,6
192.168.10.9,9935,BENIGN,6
192.168.10.17,55981,BENIGN,6
192.168.10.19,46384,BENIGN,6
192.168.10.9,9941,BENIGN,6
192.168.10.9,10445,BENIGN,6
192.168.10.9,9984,BENIGN,6
172.16.0.1,58640,PortScan,6
172.16.0.1,58350,DDoS,6
192.168.10.9,10430,BENIGN,6
192.168.10.8,49683,BENIGN,6
192.168.10.16,41934,BENIGN,6
172.16.0.1,58349,DDoS,6
192.168.10.9,9986,BENIGN,6
192.168.10.25,56291,BENIGN,6
192.168.10.9,7347,BENIGN,6
192.168.10.51,53707,BENIGN,6
172.16.0.1,58348,DDoS,6
172.16.0.1,58347,DDoS,6
192.168.10.16,41092,BENIGN,6
192.168.10.16,41946,BENIGN,6
192.168.10.25,56296,BENIGN,6
192.168.10.16,41554,BENIGN,6
172.16.0.1,58345,DDoS,6
172.16.0.1,34822,PortScan,6
192.168.10.8,51937,BENIGN,6
52.202.243.144,443,BENIGN,6
192.168.10.25,56298,BENIGN,6
192.168.10.25,56299,BENIGN,6
172.16.0.1,58344,DDoS,6
192.168.10.51,53841,BENIGN,6
192.168.10.16,41090,BENIGN,6
192.168.10.17,40142,BENIGN,6
172.16.0.1,58343,DDoS,6
192.168.10.9,9603,BENIGN,6
192.168.10.9,7474,BENIGN,6
192.168.10.9,9602,BENIGN,6
192.168.10.9,9601,BENIGN,6
172.16.0.1,58572,PortScan,6
192.168.10.9,61609,BENIGN,6
172.16.0.1,62246,DDoS,6
172.16.0.1,58462,PortScan,6
192.168.10.16,41648,BENIGN,6
192.168.10.14,52432,BENIGN,6
192.168.10.25,56154,BENIGN,6
192.168.10.9,61435,BENIGN,6
172.16.0.1,62212,DDoS,6
192.168.10.19,52298,BENIGN,6
192.168.10.16,26634,BENIGN,6
192.168.10.25,56157,BENIGN,6
192.168.10.50,52328,BENIGN,6
172.16.0.1,58735,DDoS,6
172.16.0.1,58688,PortScan,6
192.168.10.25,56159,BENIGN,6
192.168.10.14,52440,BENIGN,6
192.168.10.8,59274,BENIGN,6
192.168.10.8,52020,BENIGN,6
172.16.0.1,58457,DDoS,6
192.168.10.9,61574,BENIGN,6
192.168.10.51,53812,BENIGN,6
172.16.0.1,62213,DDoS,6
52.84.64.168,443,BENIGN,6
192.168.10.17,40479,BENIGN,6
172.16.0.1,58736,DDoS,6
192.168.10.9,7421,BENIGN,6
192.168.10.17,40228,BENIGN,6
192.168.10.50,52316,BENIGN,6
172.16.0.1,58459,DDoS,6
172.16.0.1,62214,DDoS,6
192.168.10.9,10105,BENIGN,6
192.168.10.14,51903,BENIGN,6
172.16.0.1,58737,DDoS,6
172.16.0.1,58732,PortScan,6
172.16.0.1,58468,PortScan,6
172.16.0.1,58469,DDoS,6
192.168.10.9,9808,BENIGN,6
192.168.10.25,56090,BENIGN,6
192.168.10.9,9817,BENIGN,6
192.168.10.9,9813,BENIGN,6
192.168.10.51,50188,BENIGN,6
172.16.0.1,58481,DDoS,6
192.168.10.17,40230,BENIGN,6
172.16.0.1,58480,DDoS,6
172.16.0.1,58479,DDoS,6
192.168.10.25,56142,BENIGN,6
192.168.10.12,58830,BENIGN,6
192.168.10.9,9858,BENIGN,6
52.204.92.195,443,BENIGN,6
192.168.10.9,61534,BENIGN,6
192.168.10.9,61438,BENIGN,6
192.168.10.12,58832,BENIGN,6
192.168.10.9,10175,BENIGN,6
192.168.10.25,56148,BENIGN,6
192.168.10.19,48021,BENIGN,6
192.168.10.9,61568,BENIGN,6
192.168.10.25,56084,BENIGN,6
192.168.10.14,51992,BENIGN,6
192.168.10.17,40472,BENIGN,6
192.168.10.8,49631,BENIGN,6
192.168.10.17,40473,BENIGN,6
192.168.10.9,7387,BENIGN,6
192.168.10.51,50182,BENIGN,6
192.168.10.25,56083,BENIGN,6
192.168.10.5,65376,BENIGN,6
172.16.0.1,58470,DDoS,6
172.16.0.1,58458,DDoS,6
52.84.64.196,80,BENIGN,6
192.168.10.9,9768,BENIGN,6
52.84.64.196,443,BENIGN,6
192.168.10.9,7432,BENIGN,6
52.84.64.167,443,BENIGN,6
192.168.10.8,58195,BENIGN,6
192.168.10.9,61529,BENIGN,6
172.16.0.1,58744,PortScan,6
192.168.10.9,10232,BENIGN,6
192.168.10.9,61461,BENIGN,6
192.168.10.51,50152,BENIGN,6
192.168.10.14,51881,BENIGN,6
172.16.0.1,58448,DDoS,6
192.168.10.50,53220,BENIGN,6
172.16.0.1,62095,DDoS,6
172.16.0.1,58447,DDoS,6
192.168.10.9,7433,BENIGN,6
192.168.10.25,56180,BENIGN,6
192.168.10.9,61577,BENIGN,6
52.205.164.116,80,BENIGN,6
172.16.0.1,58446,DDoS,6
172.16.0.1,58747,DDoS,6
172.16.0.1,58445,DDoS,6
192.168.10.8,59084,BENIGN,6
172.16.0.1,58444,DDoS,6
172.16.0.1,58443,DDoS,6
172.16.0.1,58442,PortScan,6
192.168.10.9,9784,BENIGN,6
192.168.10.19,56312,BENIGN,6
192.168.10.9,9875,BENIGN,6
52.84.86.10,443,BENIGN,6
192.168.10.9,7420,BENIGN,6
192.168.10.12,58992,BENIGN,6
192.168.10.16,41646,BENIGN,6
192.168.10.25,55887,BENIGN,6
192.168.10.5,65374,BENIGN,6
192.168.10.25,55932,BENIGN,6
172.16.0.1,62215,DDoS,6
192.168.10.12,59060,BENIGN,6
192.168.10.25,56076,BENIGN,6
172.16.0.1,34776,PortScan,6
192.168.10.17,56035,BENIGN,6
192.168.10.25,56173,BENIGN,6
172.16.0.1,58738,DDoS,6
192.168.10.25,56174,BENIGN,6
172.16.0.1,58738,PortScan,6
192.168.10.25,56074,BENIGN,6
192.168.10.14,52298,BENIGN,6
172.16.0.1,58532,PortScan,6
192.168.10.9,9869,BENIGN,6
192.168.10.51,53814,BENIGN,6
172.16.0.1,58739,DDoS,6
192.168.10.9,61581,BENIGN,6
172.16.0.1,58740,DDoS,6
172.16.0.1,58450,DDoS,6
192.168.10.25,55889,BENIGN,6
172.16.0.1,58741,DDoS,6
52.203.87.92,443,BENIGN,6
172.16.0.1,58742,DDoS,6
192.168.10.9,61431,BENIGN,6
192.168.10.9,10102,BENIGN,6
172.16.0.1,58743,DDoS,6
192.168.10.9,9871,BENIGN,6
192.168.10.19,46296,BENIGN,6
172.16.0.1,58449,DDoS,6
172.16.0.1,62217,DDoS,6
192.168.10.16,41674,BENIGN,6
172.16.0.1,34748,PortScan,6
172.16.0.1,58482,DDoS,6
192.168.10.25,55907,BENIGN,6
192.168.10.9,61543,BENIGN,6
192.168.10.25,56116,BENIGN,6
192.168.10.9,10141,BENIGN,6
192.168.10.25,56119,BENIGN,6
192.168.10.9,10137,BENIGN,6
172.16.0.1,58712,DDoS,6
172.16.0.1,58508,PortScan,6
172.16.0.1,62200,DDoS,6
192.168.10.16,41698,BENIGN,6
192.168.10.25,56109,BENIGN,6
192.168.10.25,56108,BENIGN,6
52.204.250.205,443,BENIGN,6
192.168.10.16,28111,BENIGN,6
192.168.10.9,61446,BENIGN,6
172.16.0.1,62075,DDoS,6
192.168.10.17,55102,BENIGN,6
172.16.0.1,34916,PortScan,6
192.168.10.8,52091,BENIGN,6
192.168.10.9,9830,BENIGN,6
172.16.0.1,58713,DDoS,6
172.16.0.1,58714,DDoS,6
192.168.10.12,59034,BENIGN,6
192.168.10.9,10145,BENIGN,6
192.168.10.12,58812,BENIGN,6
172.16.0.1,58715,DDoS,6
192.168.10.12,58810,BENIGN,6
192.168.10.25,56124,BENIGN,6
172.16.0.1,62196,DDoS,6
192.168.10.25,56105,BENIGN,6
192.168.10.25,56125,BENIGN,6
172.16.0.1,58711,DDoS,6
192.168.10.25,55910,BENIGN,6
192.168.10.9,61453,BENIGN,6
172.16.0.1,62076,DDoS,6
192.168.10.9,9841,BENIGN,6
192.168.10.14,51964,BENIGN,6
192.168.10.9,9843,BENIGN,6
192.168.10.5,65380,BENIGN,6
192.168.10.9,9836,BENIGN,6
